g E0 Ep1 Epair duration
0.84 19.3008 40.715 -21.4141 442617
0.85 19.0448 40.9098 -21.865 440331
0.86 18.7864 41.1026 -22.3162 440898
0.87 18.5258 41.2935 -22.7676 447702
0.88 18.263 41.4823 -23.2193 443801
0.89 17.9981 41.6705 -23.6724 439856
0.9 17.7311 41.8553 -24.1242 440893
0.91 17.4621 42.0381 -24.576 439583
0.92 17.1911 42.2189 -25.0279 440677
0.93 16.9181 42.3978 -25.4797 439666
0.94 16.6432 42.5746 -25.9315 439028
0.95 16.3664 42.7496 -26.3832 442349
0.96 16.0878 42.9226 -26.8348 438347
0.97 15.8074 43.0936 -27.2862 438341
0.98 15.5252 43.2627 -27.7375 438380
0.99 15.2413 43.4299 -28.1886 438397
1 14.9558 43.5952 -28.6394 437648
1.01 14.6686 43.7586 -29.09 437424
1.02 14.3797 43.9201 -29.5404 437345
1.03 14.0894 44.0798 -29.9905 438167
1.04 13.7974 44.2377 -30.4403 441045
1.05 13.504 44.3937 -30.8897 437017
1.06 13.2091 44.5492 -31.3401 440334
1.07 12.9127 44.7016 -31.7889 439893
1.08 12.6149 44.8522 -32.2373 438296
1.09 12.3158 45.0011 -32.6853 440675
1.1 12.0152 45.1483 -33.133 452749
1.11 11.7134 45.2937 -33.5803 438284
1.14 10.8001 45.7201 -34.92 436165
1.15 10.4932 45.859 -35.3658 435794
1.16 10.1851 45.9962 -35.8112 441204
1.17 9.87577 46.1319 -36.2561 439496
1.18 9.56532 46.266 -36.7007 440435
1.19 9.25373 46.3986 -37.1449 441343
1.21 8.62729 46.6592 -38.0319 435124
1.22 8.31244 46.7873 -38.4748 439796
1.23 7.99657 46.9139 -38.9173 438548
1.24 7.67967 47.039 -39.3594 435815
1.25 7.36175 47.1628 -39.801 439182
1.26 7.04285 47.2851 -40.2422 436915
1.27 6.723 47.406 -40.683 436692
1.28 6.4022 47.5256 -41.1234 447709
1.29 6.08046 47.6438 -41.5634 436909
1.31 5.43428 47.8763 -42.442 436556
1.32 5.10986 47.9906 -42.8807 435400
1.33 4.78457 48.1036 -43.319 438564
1.34 4.45845 48.2153 -43.7569 435479
1.35 4.1315 48.3259 -44.1944 437490
1.36 3.80373 48.4361 -44.6324 439183
1.37 3.47515 48.5441 -45.069 436204
1.38 3.14582 48.651 -45.5052 438347
1.39 2.81569 48.7567 -45.941 437897
1.4 2.48481 48.8612 -46.3764 437388
1.41 2.15319 48.9646 -46.8114 438528
1.42 1.82084 49.0668 -47.246 438238
1.43 1.48777 49.168 -47.6802 440595
1.44 1.15399 49.268 -48.1141 441179
1.45 0.819544 49.3671 -48.5475 436966
1.46 0.484395 49.465 -48.9806 442195
1.47 0.148579 49.5618 -49.4133 441600
1.49 -0.524987 49.7525 -50.2775 433814
1.5 -0.862736 49.8464 -50.7091 436620
1.51 -1.20111 49.9392 -51.1403 439480
1.53 -1.87965 50.122 -52.0016 438424
1.54 -2.21983 50.2119 -52.4317 442601
1.55 -2.56059 50.3009 -52.8615 443520
1.56 -2.90189 50.389 -53.2909 440186
1.57 -3.24379 50.4762 -53.72 441120
1.58 -3.58623 50.5625 -54.1487 440120
1.59 -3.9292 50.6479 -54.5771 441418
1.6 -4.27271 50.7324 -55.0051 437244
1.61 -4.61676 50.8161 -55.4328 450413
1.62 -4.96132 50.8989 -55.8602 439036
1.63 -5.30638 50.9809 -56.2873 439391
1.64 -5.65195 51.0621 -56.714 440322
1.65 -5.99801 51.1424 -57.1404 438190
1.67 -6.69157 51.3007 -57.9923 434595
1.68 -7.03907 51.3787 -58.4177 438241
1.69 -7.38703 51.4559 -58.8429 439439
1.7 -7.73542 51.5323 -59.2677 439716
1.71 -8.08428 51.608 -59.6923 439219
1.72 -8.43358 51.6829 -60.1165 438507
1.73 -8.78331 51.7571 -60.5405 438256
1.74 -9.13345 51.8307 -60.9641 438641
1.75 -9.48404 51.9034 -61.3875 440009
1.76 -9.83503 51.9755 -61.8106 439571
1.77 -10.1864 52.0469 -62.2334 440399
1.78 -10.5382 52.1177 -62.6559 442780
1.79 -10.8904 52.1877 -63.0781 439930
1.8 -11.243 52.2571 -63.5001 442404
1.81 -11.596 52.3258 -63.9218 444956
1.82 -11.9493 52.3939 -64.3432 440804
1.83 -12.303 52.4613 -64.7643 440060
1.84 -12.6571 52.5281 -65.1852 441694
1.85 -13.0116 52.5943 -65.6059 438608
1.86 -13.3664 52.6599 -66.0262 440951
1.87 -13.7215 52.7248 -66.4464 440120
1.88 -14.077 52.7892 -66.8662 439234
1.89 -14.4329 52.853 -67.2858 440310
1.9 -14.789 52.9162 -67.7052 440457
1.91 -15.1456 52.9788 -68.1243 439843
1.92 -15.5024 53.0409 -68.5432 442641
1.93 -15.8595 53.1023 -68.9619 437935
1.94 -16.217 53.1633 -69.3803 440151
1.95 -16.5748 53.2237 -69.7985 439087
1.96 -16.9329 53.2835 -70.2164 438005
1.97 -17.2913 53.3428 -70.6341 439923
1.99 -18.009 53.4599 -71.4689 438148
2 -18.3683 53.5177 -71.8859 443615
